job_name,submit_time,task_name,instance_num,task_duration,plan_cpu,plan_mem,plan_gpu,gpu_type,communicate_count,communicate_size,decline,preq,children,qualified
google_221495509609,406,instance_221495509609_1367,1,13,500,7,180,MISC,1,116,24,,,
google_6776392008,612,instance_6776392008_607,1,9,400,8,60,MISC,2,162,24,,,
google_128073972032,1102,instance_128073972032_246,1,7,500,7,90,MISC,3,278,29,,,
google_320177399264,372,instance_320177399264_3163,1,22,500,8,110,MISC,3,228,28,,,
google_793077145663,408,instance_793077145663_10445,1,6,500,8,90,MISC,0,84,42,,,
google_2399970864,779,instance_2399970864_3011,1,9,500,7,160,MISC,1,28,12,,,
google_315267875644,16,instance_315267875644_5662,1,18,500,7,110,MISC,3,521,90,,,
google_71429569,224,instance_71429569_263,1,13,900,10,170,MISC,2,303,16,,,
google_358931119334,646,instance_358931119334_2257,1,9,500,7,50,MISC,2,184,29,,,
google_236368073537,927,instance_236368073537_4449,1,21,600,7,110,MISC,6,788,36,,,
google_156922393102,433,instance_156922393102_305,1,11,1600,15,150,MISC,1,311,11,,,
google_236368116431,966,instance_236368116431_16131,1,4,500,7,180,MISC,3,220,29,,,
google_285748468709,692,instance_285748468709_18934,1,4,500,7,60,MISC,0,60,77,,,
google_184202283831,792,instance_184202283831_557,1,20,500,7,100,MISC,0,122,78,,,
google_296522493188,984,instance_296522493188_287,1,8,800,7,200,MISC,2,311,72,,,
google_757928891474,739,instance_757928891474_3105,1,16,500,7,90,MISC,0,161,76,,,
google_758263544732,757,instance_758263544732_4870,1,5,500,7,90,MISC,3,1314,82,,,
google_276563761950,331,instance_276563761950_1933,1,7,600,7,90,MISC,1,21,17,,,
google_236368116431,903,instance_236368116431_32584,1,17,500,7,90,MISC,3,613,52,,,
google_116646838687,154,instance_116646838687_17,1,23,500,8,190,MISC,2,110,36,,,
google_156922393102,433,instance_156922393102_118,1,5,1600,15,60,MISC,2,293,17,,,
google_494989765009,645,instance_494989765009_1214,1,7,500,8,70,MISC,2,496,66,,,
google_755686677250,621,instance_755686677250_6763,1,14,500,7,70,MISC,0,74,70,,,
google_122697038507,835,instance_122697038507_5012,1,11,500,7,100,MISC,6,798,31,,,
google_282155526518,388,instance_282155526518_7014,1,10,500,7,140,MISC,1,84,50,,,
google_358146539252,446,instance_358146539252_1084,1,8,500,7,40,MISC,1,291,9,,,
google_221495446263,393,instance_221495446263_1087,1,20,600,7,190,MISC,1,75,14,,,
google_796037227562,361,instance_796037227562_3526,1,7,500,7,190,MISC,1,162,36,,,
google_96110849886,1090,instance_96110849886_5225,1,8,400,7,80,MISC,3,219,12,,,
google_116646838687,983,instance_116646838687_17,1,9,500,8,50,MISC,0,85,32,,,
google_755686677250,621,instance_755686677250_2823,1,7,500,7,200,MISC,0,208,54,,,
google_755686677250,621,instance_755686677250_7788,1,12,500,7,200,MISC,0,108,51,,,
google_147074738457,1053,instance_147074738457_2186,1,9,500,7,70,MISC,0,138,30,,,
google_374675984600,177,instance_374675984600_242,1,13,500,8,150,MISC,1,80,89,,,
google_93247928673,427,instance_93247928673_2402,1,9,700,8,170,MISC,2,342,18,,,
google_497733596373,853,instance_497733596373_913,1,6,600,10,100,MISC,1,57,78,,,
google_324708383074,905,instance_324708383074_13631,1,17,500,7,90,MISC,0,108,45,,,
google_18214865480,899,instance_18214865480_2509,1,11,400,11,110,MISC,0,60,14,,,
google_454520770906,51,instance_454520770906_931,1,9,600,7,40,MISC,1,163,94,,,
google_21299367638,1151,instance_21299367638_599,1,4,800,8,140,MISC,2,393,51,,,
google_384929736739,641,instance_384929736739_1609,1,12,500,8,200,MISC,3,397,74,,,
google_348547152567,463,instance_348547152567_197,1,15,600,7,130,MISC,2,205,23,,,
google_346556401280,303,instance_346556401280_11661,1,13,700,8,160,MISC,1,220,88,,,
google_276842727140,269,instance_276842727140_63,1,16,600,7,200,MISC,3,693,7,,,
google_798929580910,535,instance_798929580910_2440,1,7,500,7,100,MISC,0,204,11,,,
google_328029965942,1118,instance_328029965942_3514,1,21,500,7,60,MISC,5,677,89,,,
google_261321454525,146,instance_261321454525_11305,1,8,500,7,150,MISC,3,387,66,,,
google_322066611026,631,instance_322066611026_232,1,8,600,7,180,MISC,0,23,70,,,
google_384650875475,822,instance_384650875475_220,1,11,500,8,190,MISC,4,222,34,,,
google_281296015739,302,instance_281296015739_1486,1,4,600,7,50,MISC,1,161,9,,,
google_370794995307,1132,instance_370794995307_2495,1,10,500,7,60,MISC,1,76,88,,,
google_198451272245,134,instance_198451272245_687,1,8,500,8,150,MISC,1,380,11,,,
google_77793016507,994,instance_77793016507_3833,1,15,600,8,50,MISC,0,545,42,,,
google_710255342622,423,instance_710255342622_1759,1,15,500,7,160,MISC,1,118,45,,,
google_798205633057,733,instance_798205633057_736,1,13,500,7,110,MISC,0,146,18,,,
google_39516992187,36,instance_39516992187_6272,1,10,500,7,60,MISC,1,165,60,,,
google_294544747384,274,instance_294544747384_89,1,9,500,7,190,MISC,0,177,80,,,
google_284397977879,652,instance_284397977879_297,1,16,500,7,40,MISC,0,253,81,,,
google_157857385389,678,instance_157857385389_487,1,11,700,18,180,MISC,2,390,52,,,
google_494989765009,645,instance_494989765009_197,1,11,500,8,120,MISC,4,314,34,,,
google_236368116431,903,instance_236368116431_122641,1,6,500,7,70,MISC,2,161,94,,,
google_122697038507,664,instance_122697038507_6512,1,8,500,7,130,MISC,1,20,12,,,
google_358931119334,646,instance_358931119334_638,1,9,500,7,200,MISC,3,133,46,,,
google_814963931481,768,instance_814963931481_61,1,14,500,7,180,MISC,3,546,44,,,
google_348555659874,565,instance_348555659874_3935,1,17,500,7,80,MISC,1,177,66,,,
google_781075805028,89,instance_781075805028_417,1,22,500,7,170,MISC,0,109,13,,,
google_748933721607,1014,instance_748933721607_638,1,10,500,8,160,MISC,0,44,27,,,
google_314896190771,697,instance_314896190771_1998,1,10,500,7,180,MISC,1,114,29,,,
google_748156688725,317,instance_748156688725_0,1,15,500,7,60,MISC,0,145,53,,,
google_757993223888,742,instance_757993223888_1438,1,9,500,7,170,MISC,1,284,33,,,
google_156608144955,424,instance_156608144955_16,1,12,500,7,50,MISC,1,102,14,,,
google_497097336736,781,instance_497097336736_1508,1,14,500,8,150,MISC,1,214,57,,,
google_298890327109,1090,instance_298890327109_4820,1,8,500,7,180,MISC,0,245,73,,,
google_781075799931,113,instance_781075799931_1881,1,8,500,7,90,MISC,3,135,7,,,
google_368969043652,1011,instance_368969043652_1468,1,9,500,8,160,MISC,1,45,51,,,
google_737254190047,127,instance_737254190047_1372,1,12,500,7,140,MISC,3,155,22,,,
google_314894065526,583,instance_314894065526_4362,1,8,500,7,140,MISC,2,149,43,,,
google_116646838687,983,instance_116646838687_17,1,8,500,8,190,MISC,1,77,48,,,
google_260725669813,240,instance_260725669813_1155,1,7,500,7,40,MISC,2,644,22,,,
google_260697606809,882,instance_260697606809_963,1,16,500,7,60,MISC,2,171,16,,,
google_193223725812,195,instance_193223725812_175,1,18,600,7,80,MISC,2,172,70,,,
google_346556401280,303,instance_346556401280_16013,1,18,700,8,40,MISC,0,137,53,,,
google_456145354700,59,instance_456145354700_653,1,16,600,14,190,MISC,1,274,31,,,
google_480537971565,591,instance_480537971565_449,1,7,600,7,190,MISC,1,97,16,,,
google_93247928673,427,instance_93247928673_18654,1,6,700,8,60,MISC,1,81,18,,,
google_710255342622,423,instance_710255342622_19989,1,11,500,7,80,MISC,0,130,86,,,
google_757792637514,733,instance_757792637514_3040,1,11,500,7,190,MISC,2,176,57,,,
google_17629021599,1126,instance_17629021599_182,1,15,600,9,70,MISC,2,623,9,,,
google_240053269538,1072,instance_240053269538_32790,1,8,500,7,60,MISC,0,65,91,,,
google_198451272245,134,instance_198451272245_318,1,19,500,8,50,MISC,1,254,7,,,
google_330587172974,859,instance_330587172974_2238,1,9,600,10,150,MISC,1,159,32,,,
google_228360591576,502,instance_228360591576_9637,1,12,500,7,90,MISC,3,318,63,,,
google_330587204926,633,instance_330587204926_786,1,17,600,7,80,MISC,1,199,19,,,
google_348547149798,553,instance_348547149798_277,1,11,600,7,140,MISC,1,411,18,,,
google_221869627588,303,instance_221869627588_292,1,15,500,9,180,MISC,1,51,28,,,
google_319167730823,919,instance_319167730823_1242,1,15,500,7,70,MISC,0,111,55,,,
google_147074738427,181,instance_147074738427_357,1,16,500,7,160,MISC,4,233,30,,,
google_735991340813,59,instance_735991340813_1536,1,16,600,7,130,MISC,1,122,15,,,
google_358931119334,646,instance_358931119334_1575,1,10,500,7,140,MISC,4,794,26,,,
google_122697038507,664,instance_122697038507_6795,1,9,500,7,180,MISC,1,35,39,,,
google_740922797544,124,instance_740922797544_340,1,16,1000,7,40,MISC,3,329,33,,,
google_322066611026,631,instance_322066611026_281,1,12,600,7,200,MISC,3,508,50,,,
google_4741149133,559,instance_4741149133_5465,1,13,500,7,40,MISC,2,160,24,,,
google_145247935279,1032,instance_145247935279_700,1,10,500,7,70,MISC,6,4852,18,,,
google_18257359877,633,instance_18257359877_2109,1,8,500,7,80,MISC,1,63,10,,,
google_288497456405,1094,instance_288497456405_5311,1,10,500,7,200,MISC,0,157,9,,,
google_288497456405,1094,instance_288497456405_8128,1,21,500,7,40,MISC,2,269,12,,,
google_276430264854,38,instance_276430264854_331,1,9,500,7,100,MISC,0,88,17,,,
google_297489629603,1054,instance_297489629603_30618,1,8,500,7,40,MISC,2,768,30,,,
google_346556401280,303,instance_346556401280_15094,1,7,700,8,190,MISC,4,677,53,,,
google_221495509609,810,instance_221495509609_1813,1,11,500,7,160,MISC,2,136,6,,,
google_128381208302,675,instance_128381208302_871,1,9,600,8,150,MISC,1,171,31,,,
google_374676027572,80,instance_374676027572_6318,1,14,500,7,110,MISC,0,90,36,,,
google_39516992187,36,instance_39516992187_3658,1,7,500,7,180,MISC,0,50,73,,,
google_157857385389,678,instance_157857385389_259,1,8,600,18,80,MISC,2,241,80,,,
google_4741149133,559,instance_4741149133_3627,1,6,500,7,190,MISC,2,288,19,,,
google_122697038507,664,instance_122697038507_5044,1,5,500,8,130,MISC,3,2665,24,,,
google_122697038507,835,instance_122697038507_1191,1,16,500,7,60,MISC,0,106,15,,,
google_758263544732,757,instance_758263544732_3576,1,18,500,7,150,MISC,1,168,57,,,
google_234915116734,661,instance_234915116734_312,1,15,800,8,40,MISC,0,170,69,,,
google_796037227562,361,instance_796037227562_15719,1,17,500,7,170,MISC,2,109,56,,,
google_737327470532,118,instance_737327470532_16288,1,6,500,8,200,MISC,1,310,73,,,
google_795465068189,286,instance_795465068189_357,1,18,500,7,80,MISC,3,254,90,,,
google_326995659201,1079,instance_326995659201_5947,1,11,500,7,170,MISC,0,137,45,,,
google_18969797910,1064,instance_18969797910_3303,1,15,500,7,200,MISC,2,293,21,,,
google_96110849886,2,instance_96110849886_2580,1,13,500,7,110,MISC,1,108,35,,,
google_288497448483,775,instance_288497448483_1657,1,9,600,7,130,MISC,2,326,22,,,
google_308338410121,163,instance_308338410121_258,1,8,600,9,70,MISC,1,37,68,,,
google_738062440837,475,instance_738062440837_305,1,7,600,7,130,MISC,4,751,11,,,
google_499512663015,1025,instance_499512663015_10026,1,10,500,7,80,MISC,0,101,54,,,
google_326995662958,1066,instance_326995662958_66885,1,11,500,7,200,MISC,0,301,95,,,
google_382938982043,440,instance_382938982043_1332,1,22,500,7,110,MISC,5,619,67,,,
google_45822701222,846,instance_45822701222_734,1,5,500,7,90,MISC,1,111,93,,,
google_399280620994,1044,instance_399280620994_1446,1,12,500,7,150,MISC,1,166,74,,,
google_275444626052,147,instance_275444626052_839,1,11,500,7,150,MISC,0,167,65,,,
google_755686677250,621,instance_755686677250_11233,1,5,500,7,170,MISC,0,101,64,,,
google_221495463014,65,instance_221495463014_483,1,9,600,7,110,MISC,0,143,16,,,
google_312211473855,329,instance_312211473855_19207,1,10,500,7,200,MISC,2,141,37,,,
google_128073966478,49,instance_128073966478_2432,1,11,500,7,110,MISC,3,256,61,,,
google_310459195509,255,instance_310459195509_12689,1,8,500,7,180,MISC,1,64,81,,,
google_122697038507,835,instance_122697038507_6585,1,5,500,7,50,MISC,0,232,20,,,
google_297491011974,1049,instance_297491011974_5281,1,9,500,7,100,MISC,0,265,71,,,
google_288497456405,1094,instance_288497456405_2387,1,17,500,7,90,MISC,2,85,17,,,
google_56150543601,942,instance_56150543601_2558,1,16,500,7,120,MISC,6,665,63,,,
google_737254182852,107,instance_737254182852_1386,1,7,500,7,100,MISC,0,180,6,,,
google_128073972032,1102,instance_128073972032_246,1,13,500,7,170,MISC,2,258,94,,,
google_261560021823,123,instance_261560021823_941,1,19,500,7,200,MISC,0,110,7,,,
google_800553398752,764,instance_800553398752_1397,1,7,500,7,170,MISC,2,378,10,,,
google_286424453407,607,instance_286424453407_505,1,7,700,7,70,MISC,3,214,31,,,
google_376746270534,293,instance_376746270534_54,1,5,500,7,50,MISC,1,111,46,,,
google_236368116431,966,instance_236368116431_19455,1,7,500,7,120,MISC,1,118,89,,,
google_384650875475,822,instance_384650875475_1269,1,16,500,8,70,MISC,5,298,63,,,
google_290147406069,991,instance_290147406069_1034,1,16,500,7,130,MISC,0,70,9,,,
google_710255342622,423,instance_710255342622_15647,1,12,500,7,40,MISC,2,213,95,,,
google_708969524828,271,instance_708969524828_432,1,9,600,7,180,MISC,0,110,20,,,
google_236368116431,903,instance_236368116431_81854,1,16,500,7,50,MISC,1,57,92,,,
google_67285021809,1115,instance_67285021809_330,1,8,500,7,180,MISC,0,68,19,,,
google_116646838687,983,instance_116646838687_17,1,7,500,8,60,MISC,1,45,45,,,
google_276227177776,34,instance_276227177776_371,1,6,800,7,130,MISC,1,426,43,,,
google_798205633057,733,instance_798205633057_616,1,17,500,7,80,MISC,5,1196,22,,,
google_276842727140,269,instance_276842727140_763,1,14,600,7,160,MISC,0,242,24,,,
google_323373698353,862,instance_323373698353_1019,1,13,500,7,70,MISC,1,186,37,,,
google_796037227562,361,instance_796037227562_4543,1,14,500,7,170,MISC,0,55,53,,,
google_324695453205,1043,instance_324695453205_107,1,7,900,8,180,MISC,1,359,14,,,
google_754423373544,624,instance_754423373544_4417,1,10,500,7,70,MISC,1,101,70,,,
google_234109952177,787,instance_234109952177_3107,1,16,500,7,60,MISC,1,118,96,,,
google_13439396863,843,instance_13439396863_3070,1,19,1100,8,90,MISC,0,77,12,,,
google_128057644246,36,instance_128057644246_1105,1,11,500,7,110,MISC,1,58,24,,,
google_128073966478,49,instance_128073966478_280,1,7,500,7,120,MISC,1,66,74,,,
google_326995662958,1066,instance_326995662958_72765,1,21,500,7,40,MISC,4,813,58,,,
google_297445687642,955,instance_297445687642_45,1,10,500,7,110,MISC,0,204,63,,,
google_93247928673,703,instance_93247928673_18310,1,9,700,8,140,MISC,1,48,9,,,
google_14423004927,850,instance_14423004927_1348,1,7,500,7,130,MISC,2,226,83,,,
google_198451272245,134,instance_198451272245_687,1,4,500,8,180,MISC,1,112,15,,,
google_4578802523,413,instance_4578802523_1223,1,12,500,7,110,MISC,2,379,15,,,
google_755533815564,620,instance_755533815564_14934,1,13,600,9,110,MISC,0,66,48,,,
google_328029965942,1099,instance_328029965942_24270,1,8,500,7,90,MISC,0,37,26,,,
google_774058164352,880,instance_774058164352_0,1,7,500,7,80,MISC,1,142,34,,,
google_234915116734,661,instance_234915116734_11,1,11,800,8,200,MISC,2,654,34,,,
google_286193690011,718,instance_286193690011_98,1,10,1000,15,70,MISC,2,157,12,,,
google_288497448483,775,instance_288497448483_4511,1,9,600,7,90,MISC,1,99,23,,,
google_145249314104,573,instance_145249314104_136,1,8,600,17,50,MISC,0,253,10,,,
google_383117225578,455,instance_383117225578_1890,1,17,500,7,180,MISC,3,300,80,,,
google_203075380957,185,instance_203075380957_67,1,22,1300,8,130,MISC,4,258,24,,,
google_710255342622,423,instance_710255342622_9895,1,9,500,7,160,MISC,1,70,40,,,
google_756094638917,641,instance_756094638917_4170,1,14,500,7,80,MISC,1,148,90,,,
google_358200276980,412,instance_358200276980_320,1,17,1100,8,140,MISC,4,310,33,,,
google_755686677250,621,instance_755686677250_6814,1,5,500,7,40,MISC,4,621,57,,,
google_796037227562,361,instance_796037227562_12271,1,18,500,7,60,MISC,6,453,37,,,
google_315267872881,19,instance_315267872881_3684,1,11,500,7,170,MISC,2,854,72,,,
google_348547149798,553,instance_348547149798_510,1,12,600,7,200,MISC,2,275,6,,,
google_324708383074,982,instance_324708383074_16009,1,12,500,7,60,MISC,2,361,92,,,
google_128073966478,184,instance_128073966478_3177,1,8,500,7,130,MISC,2,283,56,,,
google_315268991185,168,instance_315268991185_6986,1,15,500,7,60,MISC,3,371,13,,,
google_796037227562,361,instance_796037227562_28356,1,15,500,7,100,MISC,3,184,84,,,
google_784245858759,126,instance_784245858759_2463,1,6,500,9,90,MISC,0,362,49,,,
google_18257405825,573,instance_18257405825_817,1,12,500,8,120,MISC,1,143,15,,,
google_796037227562,361,instance_796037227562_24593,1,20,500,7,110,MISC,4,433,75,,,
google_300836087305,321,instance_300836087305_691,1,17,600,7,200,MISC,2,582,21,,,
google_260725669813,504,instance_260725669813_439,1,13,500,7,200,MISC,1,403,7,,,
google_116646838687,983,instance_116646838687_17,1,8,500,8,190,MISC,2,100,23,,,
google_346556401280,303,instance_346556401280_7890,1,9,700,8,170,MISC,0,113,64,,,
google_294544747384,778,instance_294544747384_2877,1,7,500,7,180,MISC,2,445,50,,,
google_349011005158,491,instance_349011005158_2865,1,16,500,7,170,MISC,2,91,72,,,
google_359738464136,917,instance_359738464136_4804,1,15,500,7,150,MISC,1,114,16,,,
google_157857385389,678,instance_157857385389_2157,1,19,700,18,190,MISC,0,158,94,,,
google_474941134419,470,instance_474941134419_7879,1,6,600,8,160,MISC,1,64,30,,,
google_260725669813,10,instance_260725669813_335,1,21,500,7,110,MISC,1,84,15,,,
google_796037227562,361,instance_796037227562_11281,1,21,500,7,140,MISC,2,423,59,,,
google_39516992187,36,instance_39516992187_1158,1,14,500,7,60,MISC,1,272,62,,,
google_747154672802,287,instance_747154672802_0,1,18,500,8,80,MISC,1,122,94,,,
google_240053269538,1072,instance_240053269538_54043,1,10,500,7,90,MISC,4,1289,96,,,
google_796037227562,361,instance_796037227562_24078,1,9,500,7,130,MISC,1,114,82,,,
google_25911627449,225,instance_25911627449_1565,1,7,500,7,50,MISC,1,88,49,,,
google_285748468709,789,instance_285748468709_52759,1,5,500,7,90,MISC,2,187,77,,,
google_384929736739,641,instance_384929736739_674,1,5,500,8,50,MISC,0,142,74,,,
google_52536205429,123,instance_52536205429_523,1,14,700,8,160,MISC,0,124,7,,,
google_25911621841,672,instance_25911621841_2423,1,9,500,7,70,MISC,2,1184,54,,,
google_294470514509,577,instance_294470514509_241,1,5,900,8,200,MISC,1,55,9,,,
google_346556401280,303,instance_346556401280_2458,1,6,700,8,90,MISC,2,168,64,,,
google_11501329872,975,instance_11501329872_221,1,13,600,7,40,MISC,4,632,18,,,
google_455759122797,39,instance_455759122797_1848,1,19,500,8,140,MISC,2,213,60,,,
google_14423004927,850,instance_14423004927_1690,1,10,500,7,180,MISC,4,381,90,,,
google_823800290622,1061,instance_823800290622_859,1,15,500,26,40,MISC,0,81,33,,,
google_128073966478,49,instance_128073966478_2853,1,21,500,7,190,MISC,0,203,90,,,
google_755686677250,621,instance_755686677250_8657,1,14,500,7,80,MISC,5,815,73,,,
google_56150543601,336,instance_56150543601_6706,1,14,500,7,130,MISC,1,87,48,,,
google_346556401280,303,instance_346556401280_13344,1,13,700,8,140,MISC,1,57,54,,,
google_278143657170,769,instance_278143657170_825,1,21,600,7,100,MISC,3,352,24,,,
google_2399970864,779,instance_2399970864_4570,1,9,500,7,50,MISC,2,529,8,,,
google_330587213089,405,instance_330587213089_1036,1,15,600,7,140,MISC,1,105,14,,,
google_385353435000,815,instance_385353435000_4424,1,10,500,7,160,MISC,1,43,54,,,
google_770544940169,186,instance_770544940169_14,1,7,1100,10,100,MISC,2,458,6,,,
google_106401189869,993,instance_106401189869_102,1,15,500,8,50,MISC,2,424,76,,,
google_795458820165,549,instance_795458820165_855,1,16,500,7,160,MISC,2,111,21,,,
google_236368116431,966,instance_236368116431_33788,1,17,500,7,120,MISC,1,254,80,,,
google_116646838687,983,instance_116646838687_17,1,19,500,8,110,MISC,4,419,18,,,
google_294470513781,108,instance_294470513781_11,1,15,2000,17,70,MISC,1,53,10,,,
google_795842128488,294,instance_795842128488_1916,1,11,500,7,150,MISC,0,66,43,,,
google_358931119334,646,instance_358931119334_282,1,19,500,7,150,MISC,1,64,25,,,
google_315267882782,15,instance_315267882782_2627,1,8,500,7,80,MISC,0,114,67,,,
google_36195151947,286,instance_36195151947_5002,1,6,400,7,110,MISC,0,50,35,,,
google_156608142553,625,instance_156608142553_170,1,10,500,7,120,MISC,0,334,13,,,
google_315267883348,71,instance_315267883348_1357,1,12,500,7,40,MISC,1,173,26,,,
google_294470514509,577,instance_294470514509_0,1,14,900,8,170,MISC,4,791,17,,,
google_234110028923,705,instance_234110028923_340,1,16,500,7,40,MISC,0,90,39,,,
google_799886065998,572,instance_799886065998_2103,1,5,500,7,110,MISC,2,120,21,,,
google_796037227562,361,instance_796037227562_3526,1,16,500,7,90,MISC,1,329,44,,,
google_261379492804,604,instance_261379492804_646,1,12,500,7,50,MISC,3,829,14,,,
google_754918554276,585,instance_754918554276_665,1,20,500,7,110,MISC,0,62,47,,,
google_297489629603,997,instance_297489629603_38245,1,9,500,7,190,MISC,3,149,47,,,
google_230863557562,677,instance_230863557562_134,1,13,600,9,130,MISC,3,1389,44,,,
google_128325471914,533,instance_128325471914_1267,1,15,500,7,90,MISC,1,81,22,,,
google_116646838687,154,instance_116646838687_40,1,11,500,8,130,MISC,1,81,45,,,
google_67769965280,192,instance_67769965280_797,1,7,500,8,200,MISC,3,669,22,,,
google_383095308738,451,instance_383095308738_3396,1,5,500,7,190,MISC,5,1063,64,,,
google_795458820165,549,instance_795458820165_2053,1,6,500,7,40,MISC,0,175,17,,,
google_314894065526,583,instance_314894065526_23753,1,11,500,7,50,MISC,2,268,32,,,
google_330587213089,744,instance_330587213089_1837,1,13,600,7,130,MISC,2,61,18,,,
google_494893094170,627,instance_494893094170_5868,1,12,500,7,60,MISC,0,138,25,,,
google_348547152567,463,instance_348547152567_577,1,14,600,7,120,MISC,3,604,8,,,
google_755686677250,621,instance_755686677250_8340,1,5,500,7,160,MISC,0,142,65,,,
google_14423004927,850,instance_14423004927_736,1,7,500,7,120,MISC,2,284,70,,,
google_20866460087,818,instance_20866460087_158,1,15,800,7,100,MISC,2,385,64,,,
google_300836006795,523,instance_300836006795_464,1,15,600,7,160,MISC,0,472,7,,,
google_784488673642,576,instance_784488673642_6454,1,14,500,8,170,MISC,2,273,51,,,
google_735991340813,294,instance_735991340813_1241,1,15,600,7,140,MISC,2,252,24,,,
google_261379492804,1030,instance_261379492804_646,1,20,500,7,120,MISC,4,153,23,,,
google_25911627449,175,instance_25911627449_1675,1,20,500,7,110,MISC,1,804,91,,,
google_236368116431,966,instance_236368116431_27999,1,13,500,7,190,MISC,1,211,75,,,
google_358931119334,646,instance_358931119334_2213,1,9,500,7,80,MISC,2,153,91,,,
google_326995663101,1067,instance_326995663101_2664,1,4,500,7,130,MISC,0,471,48,,,
google_14423004927,850,instance_14423004927_2436,1,13,500,7,130,MISC,2,401,75,,,
google_300373251821,123,instance_300373251821_288,1,10,500,8,60,MISC,3,142,8,,,
google_251446971439,574,instance_251446971439_2118,1,7,600,7,200,MISC,0,160,17,,,
google_222010271333,283,instance_222010271333_46089,1,8,500,7,200,MISC,0,126,68,,,
google_332929855732,73,instance_332929855732_103,1,19,700,8,90,MISC,2,127,30,,,
google_758263544732,757,instance_758263544732_1570,1,6,500,7,170,MISC,0,73,75,,,
google_221495433430,150,instance_221495433430_1265,1,16,600,7,70,MISC,2,210,9,,,
google_128073972032,1102,instance_128073972032_449,1,18,500,7,100,MISC,0,91,55,,,
google_710255342622,423,instance_710255342622_4241,1,14,500,7,50,MISC,1,62,34,,,
